"ko","pval","chisq","n","avg_fc","module","padj","lpadj","avg_lfc","lfc"
"D630045J12Rik",9.67335100071836e-09,118.393608164611,21,0.726103407757432,"cluster5red",1.49445715655629e-07,6.82551653090098,-0.461753071135749,-0.4
"Cubn",0.345588478877037,47.1345750427486,20,0.847055517120398,"cluster5red",1,0,-0.239471566121525,-0.239471566121525
"Cttn",0.488042523147679,43.6144790920676,21,0.96087031272847,"cluster5red",1,0,-0.0575863692048692,-0.0575863692048692
"Csmd3",0.513165234109101,43.0290007024816,18,0.959238705408194,"cluster5red",1,0,-0.0600382220256919,-0.0600382220256919
"Csmd2",0.987879537322149,25.6195146149189,16,1.11171260035989,"cluster5red",1,0,0.152783871131612,0.152783871131612
"Csmd1",0.671299172754696,39.3415087150777,19,0.87128850004907,"cluster5red",1,0,-0.19877759342977,-0.19877759342977
"Crebbp",0.95585100984421,29.3599173745926,20,0.995203407185082,"cluster5red",1,0,-0.00693667018994095,-0.00693667018994095
"Col6a6",0.318573344146248,47.8702016889434,20,0.792046825275851,"cluster5red",1,0,-0.336342370900246,-0.336342370900246
"Col6a5",0.16055097047399,53.2271842482967,22,0.894894653466743,"cluster5red",0.631819988283215,0.19940663885539,-0.160210235824914,-0.160210235824914
"Col6a3",0.0393939286098675,61.7975058995519,19,1.09584073308024,"cluster5red",0.197218971711425,0.705051309915718,0.132038135623358,0.132038135623358
"Col4a4",0.577146579143617,41.5509608079021,22,0.834779999953637,"cluster5red",1,0,-0.260532058732392,-0.260532058732392
"Col22a1",0.84652503188199,34.5180745907202,19,0.966068422774195,"cluster5red",1,0,-0.0498027218706185,-0.0498027218706185
"Col1a2",0.228952147250926,50.6085592086525,19,0.775124452387977,"cluster5red",0.833799026130215,0.0789386164614855,-0.367500129754224,-0.367500129754224
"Col11a1",0.974574053381285,27.624066044424,18,0.938160633331842,"cluster5red",1,0,-0.0920931304939871,-0.0920931304939871
"Cfh",0.758049150899808,37.1485035668269,17,0.9068257584742,"cluster5red",1,0,-0.141102723333151,-0.141102723333151
"Cdkn2b",0.832686717069771,34.9731934962664,20,0.796417033678314,"cluster5red",1,0,-0.328404017299021,-0.328404017299021
"Cdkn2a",0.797090576832401,36.0592961792598,21,0.871873404867911,"cluster5red",1,0,-0.19780942253202,-0.19780942253202
"Cdh2",0.28109530456333,48.9499967955427,19,1.03123673129504,"cluster5red",0.963372555934116,0.016205729804999,0.0443755566258528,0.0443755566258528
"Cdh10",0.689863994087561,38.8904545493359,21,0.996212041969264,"cluster5red",1,0,-0.00547524482412261,-0.00547524482412261
"Ccnd1",0.522492402587463,42.8127921047899,22,0.825014893115768,"cluster5red",1,0,-0.277507931855785,-0.277507931855785
"Casp8",0.997175509726162,22.4292730740785,14,1.08553591650725,"cluster5red",1,0,0.118407460370081,0.118407460370081
"Cacna1e",3.82792422938042e-13,147.786983346442,22,1.42040838608349,"cluster5red",9.12014477542141e-12,11.0399982675194,0.506305783160444,0.4
"Aspm",0.377717314548606,46.2961831679411,22,1.31362127311988,"cluster5red",1,0,0.393549395791121,0.393549395791121
"Apob",0.0678022186298036,58.7318041654688,20,0.831605657512304,"cluster5red",0.315361081650909,0.501191903483787,-0.266028521831555,-0.266028521831555
"Ano1",0.900859812509236,32.4495284623973,20,1.08026117171257,"cluster5red",1,0,0.111380150891528,0.111380150891528
"Ank2",1.13721857816321e-08,117.898197457466,19,0.767668180559256,"cluster5red",1.72988441409058e-07,6.76198291421205,-0.381445244497244,-0.381445244497244
"Akap9",0.0443106520254434,61.1533094372584,21,0.8488720334352,"cluster5red",0.217430060497058,0.662680413306322,-0.236381009475511,-0.236381009475511
"Ahnak",0.0273044528758188,63.7452807006124,19,0.966278530452982,"cluster5red",0.144285222229027,0.84077814730595,-0.0494889880383726,-0.0494889880383726
"Ahnak2",7.37401167572329e-08,112.092279866219,21,0.766694322162999,"cluster5red",1.05667449918426e-06,5.97605877331589,-0.383276599036966,-0.383276599036966
"Aff3",0.977077058028826,27.3234818191221,19,1.01049539632467,"cluster5red",1,0,0.0150627490163112,0.0150627490163112
"Adgrv1",0.00296251282625372,74.19481630011,20,1.11213438393167,"cluster5red",0.0205918070787934,1.68630553925321,0.153331125577566,0.153331125577566
"Adgrl3",0.955867798385954,29.3586331219579,19,1.00207473159824,"cluster5red",1,0,0.00299010422756208,0.00299010422756208
"Adgrl2",0.308118781323518,48.1638189951667,22,0.915986791541675,"cluster5red",1,0,-0.126601299965487,-0.126601299965487
"Adgrb3",0.224121116446223,50.7741053869188,17,1.19394547244559,"cluster5red",0.820739829208161,0.0857944904397935,0.255736950146547,0.255736950146547
"Abca13",0.000153622174517233,86.0730411191242,20,1.11247880062969,"cluster5red",0.00142958988286037,2.84478853397294,0.153777844377617,0.153777844377617
"Zmat3",0.999453453537113,60.1467878939402,39,0.886111710973068,"cluster4turquoise",1,0,-0.174439505918009,-0.174439505918009
"Zfp831",0.000101118917536833,161.264276908366,48,0.767523585469394,"cluster4turquoise",0.000956759136024343,3.01919738203682,-0.38171701070172,-0.38171701070172
"Zfp804b",0.899982822207407,82.3593513545079,40,1.20526266626338,"cluster4turquoise",1,0,0.269347591285169,0.269347591285169
"Zfp78",0.999215003628674,61.1937940487937,41,0.984687250167907,"cluster4turquoise",1,0,-0.0222625167936863,-0.0222625167936863
"Zfp469",0.00727812230951349,137.839626799197,47,0.849417463686871,"cluster4turquoise",0.0459090490177446,1.33810170332685,-0.235454324658081,-0.235454324658081
