"","Atf3","Nr4a1","Ccn1","Hspa1a","Fos","Egr1","Fosb","Zfp36","Btg2","Jun","Dnajb1","Rhob","Hspa1b","Klf6","Socs3","Jund","Dusp1","Junb","Sfn","Ier2","Klf4","Gm26532","Ubc","Nfkbiz","Ppp1r15a","clones"
"Ano1",5.81355109583645,3.28631159539288,4.76541885735312,3.53643890949331,31.1899006436296,20.3803167091401,8.1752976429304,18.9416454936344,3.34932401649802,17.8560442057647,4.85741963234807,2.20470971505752,5.318690164404,3.19424219227105,1.90146137652588,34.0210707078398,13.2473790838554,11.8858746325333,18.2464350052415,4.99243352883626,8.4607721841532,2.5195265828293,12.2135899691417,1.01045861337892,0.887324233158626,7.14974711950468
"Apob",3.51531938054827,1.0715386957492,3.13887062350303,1.82516464379501,21.0819297466571,13.7701280725993,6.63541056876587,12.1080916441613,2.54038609590049,12.8998891457864,3.92903183589715,1.66487781966669,3.85685977078301,2.50836703643489,1.19638982315978,24.8960343222308,9.88433815989839,7.36790194018906,14.3778106856006,3.07235604850105,7.64979602952357,1.79119150557232,9.72840251669376,1.3804599373418,0.699157661112954,6.79441586635011
"Aspm",7.47448829631078,5.00450880465315,4.11097583805439,2.81876561711406,33.4328631421121,21.6120808375221,12.3440919174612,18.6622827884647,4.0200337468035,22.9741025478944,4.80101623329085,2.59080728968812,5.03874009182228,4.48805692467052,1.26956732092994,30.255731908457,10.6791661711548,8.98546104113801,15.6075383903033,4.47070526928626,9.82003116438157,1.82240378684639,10.9838643914668,1.9519203755953,1.30277889067588,7.39231742277876
"Cacna1e",4.27905326994686,2.92277568059962,3.34560669081554,1.93722865106962,24.579317858177,16.9699244964409,8.2568694189976,14.5059216908075,2.46295856673157,17.1285908404244,3.59634906199679,2.14379653711685,3.75232651381997,3.82325266614805,1.0061966280243,29.673803685001,11.9396966073923,9.97566485828704,13.3850992467783,5.02771152395813,7.72724656275021,1.7775220824672,9.56854882405138,1.27762194017448,0.932411377430452,7.98299357469431
"Casp8",4.07074201939522,2.49285602494964,3.86618083896924,2.48976932531612,26.7285801019632,17.8333728979084,7.89808566620736,14.5428457561922,2.42624760504892,18.2063968577468,3.31223110743231,2.19761485361369,5.20765632559356,3.20877743679956,0.907523628476324,27.5743272883357,10.4041785584973,8.05647510735171,16.4172305768968,4.34333049624258,8.541575157233,1.80560666357353,9.39229871065757,1.30860199922637,1.03330607457722,6.61470984411521
"Ccnd1",2.32495542455836,1.88214052002878,1.87066850585993,3.37419617877411,17.7851284529874,11.8871401491174,6.58085782607866,9.27389219601912,1.29060227459665,10.0041691873626,3.37143645692397,1.66121590903257,6.53809135898029,3.05812177424699,0.616723605764072,23.409408030086,9.36818425976596,7.09835881902687,13.676894016584,2.31934655431488,6.6637350379811,1.42715465249929,9.40230569182267,1.31795775777052,0.684748814103394,7.63662462054365
"Cdh10",3.14660127244945,2.54284172074194,3.76084029462442,2.64660300813208,26.817558392446,20.0899107477369,9.79706753491526,16.5261476097978,1.80200384560252,20.5039007889835,3.81104938152853,2.41241277048718,4.07951098891413,3.63657246316051,1.12875893860805,30.467610608561,11.5489693750532,10.3124728064041,16.1518409466056,4.93509228786498,8.07413813414889,1.87482085079751,11.3081054412243,1.24352133661591,0.858618288155401,7.58496250072116
"Cdh2",3.85471635159626,2.86673428065141,3.0177103506218,2.57096786787857,28.8216749394683,23.5340105158736,8.38584493989068,19.8015348089972,3.68366030112334,24.5304862711535,4.50991748112755,4.4667702817888,4.83727759146701,3.36940249079,1.31764119084198,38.0725407554541,16.4899771855522,13.6091680156323,21.6429496306333,6.4891662309917,7.38204323141172,1.64228089720219,14.6397143743327,1.49307392042965,0.829438317190066,8.78463484555752
"Cdkn2a",1.99596748167245,1.26331534455825,3.79112716998904,1.48339092243435,21.3570309254018,10.8051546296278,5.7368537269,12.5167391457155,1.14901074844043,12.414788180136,2.85112155867313,1.51212867572158,3.45026266861282,3.16916272963826,1.0218648159376,24.5816085325977,9.56328357122915,7.63577286680443,13.0261237044817,3.83171076055409,7.5459824610438,1.92525019712433,9.75507145237321,1.4424112819906,1.0326521362967,6.33985000288462
"Cdkn2b",2.50919591703259,1.2893648421566,2.08470878350642,1.36558902530173,23.1656595386403,13.8864857031007,5.83566881015841,13.2105045363462,1.84322640562576,18.9160441223574,2.66519867933557,3.35528847744922,3.89881878516891,3.19774072780122,0.472745293924841,26.9562786474983,11.9172089133146,8.57944303799332,16.8390025777644,4.53548313549269,6.93193473966464,1.41017966360504,11.2311822555605,1.86054310585815,0.50742565584655,6.56985560833095
