"","IgG_1_2","IgG_2_2","IgG_3_2","IgG_4_2","IgG_5_2","IgG_6_2","TNF_1_2","TNF_2_2","TNF_3_2","TNF_4_2","TNF_5_2","TNF_6_2","CD48_1_2","CD48_2_2","CD48_3_2","CD48_4_2","CD48_5_2","CD48_6_2","CD115_1_2","CD115_2_2","CD115_3_2","CD115_4_2","CD115_5_2","CD115_6_2","IgG_1_1","IgG_2_1","IgG_3_1","IgG_4_1","IgG_5_1","IgG_6_1","IgG_7_1","IgG_8_1","CD115_1_1","CD115_2_1","CD115_3_1","CD115_4_1","CD115_5_1","CD115_6_1","CD115_7_1","CD115_8_1","CD48_1_1","CD48_2_1","CD48_3_1","CD48_4_1","CD48_5_1","CD48_6_1","TNF_1_1","TNF_2_1","TNF_3_1","TNF_4_1","TNF_5_1","TNF_6_1"
"Hras",1976.81750032948,8201.53402158472,2260.03815862786,3430.68691888644,33.8107587698346,75.4557455378512,4933.38126850816,53014.1074459681,26930.7932576259,8593.68265516347,6353.87277974904,8688.13005459057,7098.00652438804,143048.149300026,15075.4617454461,6737.51749440948,33882.6280681172,1752.73165079178,5758.48809748409,38520.8715420109,4176.50351544107,7147.88097631756,10949.6645628665,2210.31351704068,8596.29814790789,3568.66258089341,6343.97233350546,4052.4188883629,3584.54477080823,1293.14264044257,4858.92354604875,1299.82111190768,8017.95065069272,9372.23787487499,1237.00803788582,2166.70012683925,3390.87674992499,1802.62976355134,5815.30017025733,1249.46058080164,21144.1299127348,25979.6125643688,3244.16925073587,2329.38652214805,1061.54173614719,4029.82443516952,2715.3556093343,3593.52463198084,1157.3509927436,2748.77976027872,1629.2899967013,159.270005565209
"Huwe1",63.5405625105905,40.7024020922319,292.52266946779,10.6213217302986,0.355902723892996,34.1908846968388,43.4021812478724,77.3605903943666,143.248900306521,1364.34397308554,108.367311766907,4301.6237994837,1080.84474349733,12160.1038067585,1011.10848430149,1895.92255294602,372.746183367626,11397.6282962925,647.819277032668,650.062923804427,1505.52668347988,47.1496106617253,43.7271048072359,1005.59308658157,1008.13692528576,658.766873007122,609.180014159747,4421.27651999348,392.100023666026,774.393247048774,1436.17740210645,3021.9191332676,981.55657815097,80.8576136272031,388.409919387345,558.935333028205,1052.47849420474,1522.56351983961,4654.98159218898,1614.54480062004,4033.69726630372,8810.70180801126,1328.58109037095,1647.84660893119,361.017718196315,1202.84993456917,385.129233988675,1408.21843218475,1625.80258504458,483.163863950924,509.81009574202,540.094376413867
"Kdr",451.84400007531,50.8780026152899,300.536989179236,626.657982087616,13.8802062318268,1751.98809170698,1215.26107494043,331.545387404428,25474.4294378429,10665.464243923,3401.39098561828,4805.44224576314,3143.44038940632,76.3106608519519,754.187475995377,10750.6420766024,323.046692251942,4002.46504847209,4911.60157051623,2080.20135617417,3530.99697104714,31961.1494138949,4456.18949899195,627.251133214247,1544.3103569489,2958.21715243271,3532.2996169883,3836.26982074525,1822.03575353718,3926.4689857693,4605.22753789223,36316.7567952798,2375.39215766702,734.674016290179,4404.43236827684,610.774916978148,8907.49245473957,2533.65012849382,8941.94671971827,1253.03963619904,44944.266654603,106140.149433308,6611.64472031663,11433.57347441,4921.90606737851,3636.2652399879,2190.17938116792,4123.97527305135,1574.6272010117,2508.34005966012,1876.31138329795,3349.11899970642
"Kmt2c",5789.25125096491,46380.3871840982,2099.75176439893,3058.94065832599,34357.7812564582,4087.57921530828,22467.8624926486,38039.3074482014,3378.28656556211,293.081297922078,6612.03632247162,16094.8088436443,8127.6637208345,182855.605533447,2444.89346613886,3503.29666879568,3636.34609996417,86.7780827900616,3361.17395082872,6760.65440756604,3832.98689988617,11265.6136407749,1437.03167161962,7477.23176260157,2421.66790328591,5620.31058059374,19127.3079794778,2701.11108628459,2734.34768978981,1287.30306002913,7800.07726772782,49530.8192810186,4500.88563724698,595.564143383163,5098.31545164852,877.785658888496,1103.15233027952,2683.17702132297,529.570359073345,3467.17906230255,25100.5715315401,23570.3938250714,9315.69799836575,3287.91899831998,3703.70508823162,3800.71016191825,4061.3628311533,2901.20481519232,1649.42199305976,4470.69353074212,2664.67751073406,2485.59084104141
"Kmt2d",4645.52112577428,122.107206276696,953.70404566211,361.124938830151,580.477342669476,3533.45108401469,853.576231208157,2132.94199230182,48203.2549531442,54492.9089102016,1073.31588787188,22562.3043333836,3867.94105535717,4551.93091981893,1218.30284583869,8796.30174191296,4087.78314426496,6590.49375285804,4105.54935122739,2098.77458256858,10431.7985670727,4322.04764399149,3243.75613842768,5864.30027719351,6788.41559061435,3069.72817830908,3044.9556056605,3334.51311041705,3082.44969099827,968.397085228568,2188.66556189276,4218.05618258655,4067.89618550724,5583.23271157014,4275.27894764926,4245.48085580221,7623.56548453038,5714.06340454227,1716.39678974109,8166.50622479673,4084.9188188917,26370.9577402953,1432.78352883142,2767.91009115071,6886.45973854784,2398.30908613023,3596.48461436899,5688.13201750063,1511.64211297123,8131.54502947193,2585.84089799045,4214.87159978993
"Lama2",2216.85962536949,40.7024020922319,2099.75176439893,2442.90399796867,27.7604124636537,5795.9444541262,506.358781225178,2188.19955686923,19469.9130333279,6838.56361818183,1879.26180653479,1355.38114624089,2080.97066279905,171.698986916892,1508.37495199075,5769.19850611679,21209.2578336179,11435.2166637043,573.807094364458,5757.70018226778,15945.5105387726,2225.46162323344,12227.6885806416,13441.0957117339,1688.46025214813,4274.04725777384,4184.92502750673,1910.9884504804,4551.20720539081,4268.40886108954,7868.876185194,22030.0355529414,4020.64815087115,547.745124571376,4440.83590595373,1653.56872115621,2569.56204725237,3830.73658771806,16965.6123565313,2445.18733564658,2694.52882322862,39548.9630046526,4346.97839110915,1339.75716780654,1891.13426474857,12813.7700403029,1384.90916464615,3372.78078734664,6361.49389208728,4559.78757657704,2596.35244635626,12027.1098615918
"Lama5",2209.79956286831,3907.43060085426,2143.83052281189,60892.0374798017,22.4218716052587,6539.89094528845,6148.64234344859,13825.4426547647,32302.6270191204,46414.6450893149,3721.12250546861,2059.08408479423,13259.5434379864,248.009647768844,22832.8186413985,7843.91487591393,948.431955457625,8473.62455479425,4966.04731408825,7912.19444401959,19175.9919012191,48337.7808504008,1029.5745586431,2160.53168107129,4705.69813928752,4284.50141644975,10681.9007134058,5806.18522121422,1521.81395323844,4136.04503838493,17535.1240891919,6714.01434381319,9620.11554553666,2117.94781500932,4675.63872396967,2546.94649294039,5273.21048097226,4081.13479713829,6441.03483161784,3662.93693711305,9031.07936290946,185918.852988235,11573.4174983425,14577.5254441671,3914.14287733569,7492.40627446694,4530.13124222033,5366.99745977591,31590.9582202973,5878.49367806958,4120.52695939942,8338.98598970471
"Lrp1",3268.80893804482,366.321618830087,1955.4940095929,2124.26434605971,11466.8298611084,8111.492645319,1475.67416242766,5382.08678886522,15482.8186414631,14886.5086841111,5639.51162457056,1607.29036938061,1430.62631501164,114.465991277928,63981.6188426848,4661.03088880194,5090.05621509791,6162.1719859317,4748.26433980018,5962.00567260631,16564.9707589542,14999.8628051836,10242.0805032585,1652.75695418357,5147.39707612672,9966.84000518722,6783.14862278342,8504.03651877603,3514.66555866973,2480.199570041,15475.4564975482,3608.20537808745,6996.86606241807,11458.8859684802,2847.31061321053,1855.05905747912,6472.30147842705,4904.71942907024,8709.82966838508,4306.26871658119,4675.55411846513,91618.2539641195,3167.7541291982,4035.97167873291,3524.59914772749,4109.27535250665,6342.961777965,5481.70903827848,7455.85979679041,2330.15196799027,3405.74167052401,6986.52560725153
"Lrp1b",536.564750089431,3510.582180455,224.400951920497,4142.31547481644,483.315899046689,4483.721879382,2676.4678436188,28844.4487041853,1539.9256782951,2705.10669231528,2249.82047261207,21727.1704958009,985.032155427742,1564.36854746501,646.446407996038,10017.7644510939,1279.76189622885,4873.03019988469,2327.98089507537,7577.87636892017,2163.56494990049,3973.14052509472,7425.65743453788,1881.75339964274,5745.89284353619,3282.99301529763,2520.77745394165,2325.73387720846,5696.44984877178,3449.89433980589,2541.26001390691,1148.06534757328,2224.25783163546,7797.97781314392,3069.13477866341,5875.71170475327,2133.99480458717,2522.96963614888,5208.65969648351,2355.88236141077,5745.06860287456,1240.61856118357,1821.8059657505,1445.71690082885,15095.4040717319,12542.158764755,1449.09737031092,6995.67042618249,4523.11663490611,10684.4321120495,4067.96921757034,9888.97677012144
"Lrp2",6481.13737608023,2340.38812030333,577.031019224134,1625.06222473568,4066.90042592527,9426.07321211126,1070.58713744752,873.069520164995,13680.2699792727,3607.93183993731,1287.46120395639,4843.77625798005,3797.72224081302,23114.4991720562,2734.96557229093,12935.1130666448,13075.1077876844,10772.0836139342,18679.9943336616,5720.55372947895,3538.61429227904,1543.36392232714,1679.51834373247,4789.0126202548,5117.226899458,8156.79922821902,4774.2712737636,12936.0954168525,13023.4146474419,6596.13049811298,7112.08809306605,14500.687444226,2716.18670128731,14332.0844684806,3642.25308269829,2919.5476940088,6816.76968994659,2081.50928589141,2422.93506616819,1185.05129650443,19201.5207819392,18906.8638119477,2801.30888727889,2400.50623425814,2059.01685650048,5162.46193116169,5138.94664746505,7028.21784757351,3271.28801010181,3495.79906766384,3531.88025091379,11179.1527928564
