"gRNA","RNA_snn_res.0.1","n","cluster"
"Dgkb",1,165,"1"
"Dgkb",2,110,"2"
"Dgkb",3,50,"3"
"Dgkb",4,27,"4"
"Dgkb",5,25,"5"
"Dgkb",6,6,"6"
"Dgkb",7,7,"7"
"Dgkb",8,1,"8"
"Dmd",0,248,"0"
"Dmd",1,209,"1"
"Dmd",2,211,"2"
"Dmd",3,77,"3"
"Dmd",4,52,"4"
"Dmd",5,52,"5"
"Dmd",6,15,"6"
"Dmd",7,10,"7"
"Dmd",8,5,"8"
"Dnah10",0,255,"0"
"Dnah10",1,198,"1"
"Dnah10",2,214,"2"
"Dnah10",3,94,"3"
"Dnah10",4,72,"4"
"Dnah10",5,60,"5"
"Dnah10",6,17,"6"
"Dnah10",7,7,"7"
"Dnah10",8,4,"8"
"Dnah11",0,211,"0"
"Dnah11",1,233,"1"
"Dnah11",2,322,"2"
"Dnah11",3,64,"3"
"Dnah11",4,133,"4"
"Dnah11",5,41,"5"
"Dnah11",6,18,"6"
"Dnah11",7,17,"7"
"Dnah11",8,3,"8"
"Dnah17",0,349,"0"
"Dnah17",1,291,"1"
"Dnah17",2,230,"2"
"Dnah17",3,103,"3"
"Dnah17",4,84,"4"
"Dnah17",5,53,"5"
"Dnah17",6,23,"6"
"Dnah17",7,7,"7"
"Dnah17",8,4,"8"
"Dnah3",0,157,"0"
"Dnah3",1,173,"1"
"Dnah3",2,172,"2"
"Dnah3",3,46,"3"
"Dnah3",4,52,"4"
"Dnah3",5,34,"5"
"Dnah3",6,12,"6"
"Dnah3",7,17,"7"
"Dnah3",8,2,"8"
"Dnah5",0,242,"0"
"Dnah5",1,270,"1"
"Dnah5",2,257,"2"
"Dnah5",3,78,"3"
"Dnah5",4,146,"4"
"Dnah5",5,50,"5"
"Dnah5",6,18,"6"
"Dnah5",7,18,"7"
"Dnah5",8,2,"8"
"Dnah6",0,171,"0"
"Dnah6",1,196,"1"
"Dnah6",2,148,"2"
"Dnah6",3,78,"3"
"Dnah6",4,50,"4"
"Dnah6",5,21,"5"
"Dnah6",6,6,"6"
"Dnah6",7,5,"7"
"Dnah6",8,2,"8"
"Dnah7a",0,145,"0"
"Dnah7a",1,104,"1"
"Dnah7a",2,114,"2"
"Dnah7a",3,48,"3"
"Dnah7a",4,49,"4"
"Dnah7a",5,27,"5"
"Dnah7a",6,5,"6"
"Dnah7a",7,1,"7"
"Dnah7a",8,2,"8"
"Dnah8",0,106,"0"
"Dnah8",1,105,"1"
"Dnah8",2,89,"2"
"Dnah8",3,41,"3"
"Dnah8",4,23,"4"
"Dnah8",5,9,"5"
"Dnah8",6,2,"6"
"Dnah8",7,2,"7"
"Dnah8",8,1,"8"
"Dnah9",0,232,"0"
"Dnah9",1,254,"1"
"Dnah9",2,181,"2"
"Dnah9",3,108,"3"
"Dnah9",4,86,"4"
"Dnah9",5,50,"5"
"Dnah9",6,19,"6"
"Dnah9",7,6,"7"
"Dnah9",8,4,"8"
"Dscam",0,419,"0"
"Dscam",1,440,"1"
"Dscam",2,345,"2"
"Dscam",3,154,"3"
"Dscam",4,158,"4"
"Dscam",5,70,"5"
"Dscam",6,32,"6"
"Dscam",7,25,"7"
"Dscam",8,5,"8"
"Dst",0,89,"0"
"Dst",1,100,"1"
"Dst",2,65,"2"
"Dst",3,45,"3"
"Dst",4,26,"4"
"Dst",5,20,"5"
"Dst",6,6,"6"
"Dst",7,3,"7"
"Dst",8,1,"8"
"Ep300",0,146,"0"
"Ep300",1,117,"1"
"Ep300",2,102,"2"
"Ep300",3,55,"3"
"Ep300",4,46,"4"
"Ep300",5,27,"5"
"Ep300",6,4,"6"
"Ep300",7,8,"7"
"Ep300",8,6,"8"
"Epha5",0,335,"0"
"Epha5",1,353,"1"
"Epha5",2,266,"2"
"Epha5",3,136,"3"
"Epha5",4,110,"4"
"Epha5",5,64,"5"
"Epha5",6,17,"6"
"Epha5",7,18,"7"
"Epha5",8,5,"8"
"Epha7",0,208,"0"
"Epha7",1,181,"1"
"Epha7",2,155,"2"
"Epha7",3,76,"3"
"Epha7",4,47,"4"
"Epha7",5,17,"5"
"Epha7",6,13,"6"
"Epha7",7,13,"7"
"Epha7",8,1,"8"
"Erbb4",0,492,"0"
"Erbb4",1,264,"1"
"Erbb4",2,257,"2"
"Erbb4",3,180,"3"
"Erbb4",4,119,"4"
"Erbb4",5,58,"5"
"Erbb4",6,28,"6"
"Erbb4",7,19,"7"
"Erbb4",8,14,"8"
"Erich3",0,229,"0"
"Erich3",1,256,"1"
"Erich3",2,189,"2"
"Erich3",3,86,"3"
"Erich3",4,58,"4"
"Erich3",5,47,"5"
"Erich3",6,7,"6"
"Erich3",7,8,"7"
"Erich3",8,4,"8"
"Fadd",0,48,"0"
"Fadd",1,70,"1"
"Fadd",2,29,"2"
"Fadd",3,21,"3"
"Fadd",4,23,"4"
"Fadd",5,7,"5"
"Fadd",6,3,"6"
"Fadd",7,3,"7"
"Fam135b",0,364,"0"
"Fam135b",1,354,"1"
"Fam135b",2,366,"2"
"Fam135b",3,128,"3"
"Fam135b",4,94,"4"
"Fam135b",5,71,"5"
"Fam135b",6,23,"6"
"Fam135b",7,13,"7"
"Fam135b",8,9,"8"
"Fat1",0,9098,"0"
"Fat1",1,4035,"1"
"Fat1",2,4675,"2"
"Fat1",3,3902,"3"
"Fat1",4,1663,"4"
"Fat1",5,1409,"5"
"Fat1",6,505,"6"
"Fat1",7,303,"7"
"Fat1",8,173,"8"
"Fat2",0,253,"0"
"Fat2",1,264,"1"
"Fat2",2,219,"2"
"Fat2",3,95,"3"
"Fat2",4,82,"4"
"Fat2",5,43,"5"
"Fat2",6,18,"6"
"Fat2",7,2,"7"
"Fat2",8,1,"8"
"Fat3",0,117,"0"
"Fat3",1,109,"1"
"Fat3",2,94,"2"
"Fat3",3,54,"3"
"Fat3",4,54,"4"
"Fat3",5,13,"5"
"Fat3",6,6,"6"
"Fat3",7,4,"7"
"Fat3",8,4,"8"
"Fat4",0,228,"0"
"Fat4",1,181,"1"
"Fat4",2,179,"2"
"Fat4",3,59,"3"
"Fat4",4,69,"4"
"Fat4",5,28,"5"
"Fat4",6,20,"6"
"Fat4",7,10,"7"
"Fat4",8,5,"8"
"Fbxw7",0,84,"0"
"Fbxw7",1,72,"1"
"Fbxw7",2,78,"2"
"Fbxw7",3,16,"3"
"Fbxw7",4,24,"4"
"Fbxw7",5,12,"5"
"Fbxw7",6,6,"6"
"Fbxw7",7,4,"7"
"Fgf15",0,165,"0"
"Fgf15",1,198,"1"
"Fgf15",2,147,"2"
"Fgf15",3,64,"3"
"Fgf15",4,45,"4"
"Fgf15",5,27,"5"
"Fgf15",6,9,"6"
"Fgf15",7,5,"7"
"Fgf15",8,6,"8"
"Fgf3",0,752,"0"
"Fgf3",1,401,"1"
"Fgf3",2,394,"2"
"Fgf3",3,309,"3"
"Fgf3",4,192,"4"
"Fgf3",5,113,"5"
"Fgf3",6,44,"6"
"Fgf3",7,24,"7"
"Fgf3",8,17,"8"
"Fgf4",0,152,"0"
"Fgf4",1,149,"1"
"Fgf4",2,137,"2"
"Fgf4",3,57,"3"
"Fgf4",4,60,"4"
"Fgf4",5,29,"5"
"Fgf4",6,13,"6"
"Fgf4",7,13,"7"
"Fgf4",8,3,"8"
"Flg",0,216,"0"
"Flg",1,185,"1"
"Flg",2,145,"2"
"Flg",3,80,"3"
"Flg",4,38,"4"
"Flg",5,32,"5"
"Flg",6,13,"6"
"Flg",7,4,"7"
"Flg",8,1,"8"
"Fmn2",0,206,"0"
"Fmn2",1,228,"1"
"Fmn2",2,189,"2"
"Fmn2",3,66,"3"
"Fmn2",4,65,"4"
"Fmn2",5,37,"5"
"Fmn2",6,12,"6"
"Fmn2",7,8,"7"
"Fmn2",8,5,"8"
"Herc2",0,264,"0"
"Herc2",1,251,"1"
"Herc2",2,182,"2"
"Herc2",3,84,"3"
"Herc2",4,83,"4"
"Herc2",5,31,"5"
"Herc2",6,11,"6"
"Herc2",7,11,"7"
"Herc2",8,2,"8"
"Hmcn1",0,224,"0"
"Hmcn1",1,199,"1"
"Hmcn1",2,134,"2"
"Hmcn1",3,67,"3"
"Hmcn1",4,49,"4"
"Hmcn1",5,38,"5"
"Hmcn1",6,8,"6"
"Hmcn1",7,4,"7"
"Hmcn1",8,2,"8"
"Hras",0,158,"0"
"Hras",1,218,"1"
"Hras",2,150,"2"
"Hras",3,55,"3"
"Hras",4,66,"4"
"Hras",5,24,"5"
"Hras",6,9,"6"
"Hras",7,3,"7"
"Hras",8,8,"8"
"Huwe1",0,38,"0"
"Huwe1",1,57,"1"
"Huwe1",2,34,"2"
"Huwe1",3,8,"3"
"Huwe1",4,17,"4"
"Huwe1",5,7,"5"
"Huwe1",6,3,"6"
"Huwe1",7,2,"7"
"Huwe1",8,1,"8"
"Kdr",0,113,"0"
"Kdr",1,125,"1"
"Kdr",2,129,"2"
"Kdr",3,48,"3"
"Kdr",4,36,"4"
"Kdr",5,23,"5"
"Kdr",6,5,"6"
"Kdr",7,3,"7"
"Kdr",8,1,"8"
"Kmt2c",0,152,"0"
"Kmt2c",1,162,"1"
"Kmt2c",2,123,"2"
"Kmt2c",3,75,"3"
"Kmt2c",4,51,"4"
"Kmt2c",5,32,"5"
"Kmt2c",6,7,"6"
"Kmt2c",7,3,"7"
"Kmt2c",8,1,"8"
"Kmt2d",0,133,"0"
"Kmt2d",1,342,"1"
"Kmt2d",2,233,"2"
"Kmt2d",3,53,"3"
"Kmt2d",4,127,"4"
"Kmt2d",5,35,"5"
"Kmt2d",6,17,"6"
"Kmt2d",7,7,"7"
"Kmt2d",8,4,"8"
"Lama2",0,177,"0"
"Lama2",1,133,"1"
"Lama2",2,159,"2"
"Lama2",3,62,"3"
"Lama2",4,48,"4"
"Lama2",5,20,"5"
"Lama2",6,8,"6"
"Lama2",7,12,"7"
"Lama2",8,1,"8"
"Lama5",0,235,"0"
"Lama5",1,262,"1"
"Lama5",2,220,"2"
"Lama5",3,68,"3"
"Lama5",4,71,"4"
"Lama5",5,31,"5"
"Lama5",6,10,"6"
"Lama5",7,14,"7"
"Lama5",8,2,"8"
"Lrp1",0,150,"0"
"Lrp1",1,219,"1"
"Lrp1",2,178,"2"
"Lrp1",3,58,"3"
"Lrp1",4,76,"4"
"Lrp1",5,33,"5"
"Lrp1",6,13,"6"
"Lrp1",7,9,"7"
"Lrp1",8,3,"8"
"Lrp1b",0,167,"0"
"Lrp1b",1,139,"1"
"Lrp1b",2,141,"2"
"Lrp1b",3,57,"3"
"Lrp1b",4,50,"4"
"Lrp1b",5,24,"5"
"Lrp1b",6,13,"6"
"Lrp1b",7,7,"7"
"Lrp1b",8,5,"8"
"Lrp2",0,206,"0"
"Lrp2",1,279,"1"
"Lrp2",2,240,"2"
"Lrp2",3,81,"3"
"Lrp2",4,67,"4"
"Lrp2",5,54,"5"
"Lrp2",6,13,"6"
"Lrp2",7,11,"7"
"Lrp2",8,1,"8"
"Macf1",0,112,"0"
"Macf1",1,150,"1"
"Macf1",2,124,"2"
"Macf1",3,38,"3"
"Macf1",4,32,"4"
"Macf1",5,20,"5"
"Macf1",6,5,"6"
"Macf1",7,3,"7"
"Macf1",8,4,"8"
"Magi2",0,312,"0"
"Magi2",1,306,"1"
"Magi2",2,275,"2"
"Magi2",3,113,"3"
"Magi2",4,97,"4"
"Magi2",5,59,"5"
"Magi2",6,12,"6"
"Magi2",7,9,"7"
"Magi2",8,6,"8"
"Mdn1",0,23,"0"
"Mdn1",1,48,"1"
"Mdn1",2,36,"2"
"Mdn1",3,13,"3"
"Mdn1",4,12,"4"
"Mdn1",5,5,"5"
"Mdn1",6,1,"6"
"Mdn1",7,1,"7"
"Mgam",0,124,"0"
"Mgam",1,214,"1"
"Mgam",2,164,"2"
"Mgam",3,45,"3"
"Mgam",4,67,"4"
"Mgam",5,16,"5"
"Mgam",6,3,"6"
"Mgam",7,11,"7"
"Mgam",8,4,"8"
"Mroh2b",0,163,"0"
"Mroh2b",1,166,"1"
"Mroh2b",2,157,"2"
"Mroh2b",3,70,"3"
"Mroh2b",4,37,"4"
"Mroh2b",5,24,"5"
"Mroh2b",6,12,"6"
"Mroh2b",7,6,"7"
"Mroh2b",8,3,"8"
"Muc16",0,189,"0"
"Muc16",1,196,"1"
"Muc16",2,120,"2"
"Muc16",3,77,"3"
"Muc16",4,50,"4"
"Muc16",5,38,"5"
"Muc16",6,13,"6"
"Muc16",7,3,"7"
"Muc16",8,3,"8"
"Muc2",0,399,"0"
"Muc2",1,297,"1"
"Muc2",2,307,"2"
"Muc2",3,127,"3"
"Muc2",4,107,"4"
"Muc2",5,52,"5"
"Muc2",6,28,"6"
"Muc2",7,18,"7"
"Muc2",8,5,"8"
"Muc3",0,218,"0"
"Muc3",1,218,"1"
"Muc3",2,162,"2"
"Muc3",3,90,"3"
"Muc3",4,61,"4"
"Muc3",5,34,"5"
"Muc3",6,13,"6"
"Muc3",7,4,"7"
"Muc3",8,3,"8"
"Muc4",0,110,"0"
"Muc4",1,155,"1"
"Muc4",2,109,"2"
"Muc4",3,55,"3"
"Muc4",4,57,"4"
"Muc4",5,26,"5"
"Muc4",6,11,"6"
"Muc4",7,6,"7"
"Muc5b",0,114,"0"
"Muc5b",1,166,"1"
"Muc5b",2,102,"2"
"Muc5b",3,47,"3"
"Muc5b",4,43,"4"
"Muc5b",5,14,"5"
"Muc5b",6,5,"6"
"Muc5b",7,4,"7"
"Muc5b",8,2,"8"
"Myh1",0,959,"0"
"Myh1",1,526,"1"
"Myh1",2,557,"2"
"Myh1",3,347,"3"
"Myh1",4,183,"4"
"Myh1",5,129,"5"
"Myh1",6,47,"6"
"Myh1",7,28,"7"
"Myh1",8,11,"8"
"Myh2",0,424,"0"
"Myh2",1,301,"1"
"Myh2",2,312,"2"
"Myh2",3,103,"3"
"Myh2",4,100,"4"
"Myh2",5,88,"5"
"Myh2",6,20,"6"
"Myh2",7,17,"7"
"Myh2",8,5,"8"
"Myh8",0,112,"0"
"Myh8",1,139,"1"
"Myh8",2,106,"2"
"Myh8",3,36,"3"
"Myh8",4,32,"4"
"Myh8",5,16,"5"
"Myh8",6,6,"6"
"Myh8",7,3,"7"
"Myh8",8,1,"8"
"Nav3",0,316,"0"
"Nav3",1,348,"1"
"Nav3",2,423,"2"
"Nav3",3,126,"3"
"Nav3",4,147,"4"
"Nav3",5,54,"5"
"Nav3",6,21,"6"
"Nav3",7,17,"7"
"Nav3",8,6,"8"
"Neb",0,164,"0"
"Neb",1,124,"1"
"Neb",2,113,"2"
"Neb",3,86,"3"
"Neb",4,31,"4"
"Neb",5,30,"5"
"Neb",6,11,"6"
"Neb",7,5,"7"
"Neb",8,3,"8"
"Notch1",0,6675,"0"
"Notch1",1,2444,"1"
"Notch1",2,3129,"2"
"Notch1",3,1584,"3"
"Notch1",4,1263,"4"
"Notch1",5,793,"5"
"Notch1",6,272,"6"
"Notch1",7,158,"7"
"Notch1",8,84,"8"
"Notch2",0,858,"0"
"Notch2",1,489,"1"
"Notch2",2,578,"2"
"Notch2",3,377,"3"
"Notch2",4,206,"4"
"Notch2",5,134,"5"
"Notch2",6,50,"6"
"Notch2",7,22,"7"
"Notch2",8,13,"8"
"Nsd1",0,35,"0"
"Nsd1",1,57,"1"
"Nsd1",2,42,"2"
"Nsd1",3,17,"3"
"Nsd1",4,19,"4"
"Nsd1",5,6,"5"
"Nsd1",6,4,"6"
"Nsd1",7,4,"7"
"Obscn",0,304,"0"
"Obscn",1,241,"1"
"Obscn",2,184,"2"
"Obscn",3,82,"3"
"Obscn",4,63,"4"
"Obscn",5,40,"5"
"Obscn",6,16,"6"
"Obscn",7,11,"7"
"Obscn",8,2,"8"
"Oraov1",0,54,"0"
"Oraov1",1,44,"1"
"Oraov1",2,45,"2"
"Oraov1",3,23,"3"
"Oraov1",4,11,"4"
"Oraov1",5,13,"5"
"Oraov1",7,1,"7"
"P3h2",0,170,"0"
"P3h2",1,232,"1"
"P3h2",2,227,"2"
"P3h2",3,59,"3"
"P3h2",4,78,"4"
"P3h2",5,22,"5"
"P3h2",6,10,"6"
"P3h2",7,8,"7"
"P3h2",8,3,"8"
"Pak7",0,249,"0"
"Pak7",1,151,"1"
"Pak7",2,110,"2"
"Pak7",3,75,"3"
"Pak7",4,46,"4"
"Pak7",5,29,"5"
"Pak7",6,3,"6"
"Pak7",7,6,"7"
"Pak7",8,6,"8"
"Pappa2",0,191,"0"
"Pappa2",1,197,"1"
"Pappa2",2,168,"2"
"Pappa2",3,69,"3"
"Pappa2",4,54,"4"
"Pappa2",5,17,"5"
"Pappa2",6,16,"6"
"Pappa2",7,12,"7"
"Pappa2",8,3,"8"
"Pcdh11x",0,202,"0"
"Pcdh11x",1,253,"1"
"Pcdh11x",2,197,"2"
"Pcdh11x",3,59,"3"
"Pcdh11x",4,61,"4"
"Pcdh11x",5,46,"5"
"Pcdh11x",6,8,"6"
"Pcdh11x",7,5,"7"
"Pcdh11x",8,4,"8"
"Pcdh15",0,306,"0"
"Pcdh15",1,323,"1"
"Pcdh15",2,269,"2"
"Pcdh15",3,112,"3"
"Pcdh15",4,121,"4"
"Pcdh15",5,76,"5"
"Pcdh15",6,18,"6"
"Pcdh15",7,18,"7"
"Pcdh15",8,5,"8"
"Pclo",0,86,"0"
"Pclo",1,146,"1"
"Pclo",2,118,"2"
"Pclo",3,49,"3"
"Pclo",4,36,"4"
"Pclo",5,29,"5"
"Pclo",6,6,"6"
"Pclo",7,8,"7"
"Peg3",0,473,"0"
"Peg3",1,282,"1"
"Peg3",2,295,"2"
"Peg3",3,174,"3"
"Peg3",4,148,"4"
"Peg3",5,86,"5"
"Peg3",6,17,"6"
"Peg3",7,12,"7"
"Peg3",8,8,"8"
"Pik3ca",0,69,"0"
"Pik3ca",1,72,"1"
"Pik3ca",2,84,"2"
"Pik3ca",3,30,"3"
"Pik3ca",4,24,"4"
"Pik3ca",5,14,"5"
"Pik3ca",6,4,"6"
"Pik3ca",7,1,"7"
"Pik3ca",8,1,"8"
"Pik3cg",0,248,"0"
"Pik3cg",1,145,"1"
"Pik3cg",2,190,"2"
"Pik3cg",3,73,"3"
"Pik3cg",4,46,"4"
"Pik3cg",5,44,"5"
"Pik3cg",6,9,"6"
"Pik3cg",7,5,"7"
"Pik3cg",8,3,"8"
"Pkhd1",0,200,"0"
"Pkhd1",1,271,"1"
"Pkhd1",2,222,"2"
