sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
Mroh2b	Mroh2b	134	76	444	29	41	5711	76	58	3094	3942	25406	4925	9680	21549	2676	1088	395	40536	14055	707	85636	1199	973	1047	220348	91834	2208	25469	6342	14971	311	2314	75893	55458	59874	143518	25400	2786	74130	454864	59338	27425	6391	19686	7396	1483	3629	22910	625	6149	606	16962
Muc16	Muc16	359	20	104	43	3168	9201	276	3149	721	7422	18254	11272	1343	3954	196	21638	137	19125	6662	748	10462	820	4387	144	90640	113302	3659	12270	1879	4201	257	6413	53657	36234	73336	22247	17009	4341	71040	863108	67993	9623	1350	9455	5360	3815	2019	30294	4259	22667	604	10449
Muc2	Muc2	243	109	1272	974	94481	1363	70	359	1217	1512	37379	384	1964	25	158	2581	4192	12552	16760	159	57827	110	1415	134	49766	64107	6883	12459	2659	4325	353	11659	119307	4988	26727	47152	5438	2282	93853	418281	67406	4488	1159	28880	7789	1235	1447	34316	1437	14588	512	11593
Muc3	Muc3	403	129	2754	2346	1210	2867	193	648	2362	14303	21710	19248	9327	385	6811	2816	15188	9842	21781	141	42932	28279	5478	713	82826	116272	8335	19496	12412	16950	1412	6600	221928	10859	86457	257785	25508	3441	308155	277096	183466	80957	3868	32359	5501	4494	3882	81731	1368	15505	856	16522
Muc4	Muc4	60	256	127	326	60	10405	693	5521	12837	15610	14541	4408	3592	31603	508	6817	1456	13955	1720	442	3741	5897	302	83	5186	41794	2826	15083	9277	20567	692	9505	75358	34977	85146	79306	18730	2620	32706	525054	50792	2933	990	5690	3822	1923	364	36944	400	15740	781	4295
Muc5b	Muc5b	280	589	4733	2955	68320	4702	839	1836	11521	19654	62398	2504	7609	1324	2207	6844	2356	7407	9057	608	6464	5652	1889	573	210492	43409	4197	14669	3818	16752	569	2345	11464	66244	70387	118036	16669	3477	329634	428848	12699	838	2147	10773	1204	790	1466	22627	727	7468	499	3727
Myh1	Myh1	310	508	2409	1110	79762	2839	216	494	662	3383	131689	7734	18408	7694	15789	5161	11997	19238	8880	731	33116	710	4646	359	235569	104979	5937	18231	9983	15790	907	29204	28187	28532	65093	263139	20963	2987	108925	455397	61744	14067	1411	7178	8145	2388	1856	48330	2850	7477	1056	12579
Myh2	Myh2	457	50	568	23	67	461	138	1291	193	42	27932	2454	4271	13293	2478	2236	344	43709	5039	334	112293	2630	8132	272	80244	72713	2333	33711	4511	6566	186	5007	106446	6702	36931	100708	7668	1586	54466	155200	86998	65180	1567	73165	3867	10885	1098	41922	185	7110	524	3802
Myh8	Myh8	63	33	232	45	59	11224	54	51	82	43	15004	7186	11017	22303	192	6544	281	13420	8521	85	3535	4152	1787	1977	26756	64785	3483	10131	4693	8326	372	5910	27985	10616	10849	49830	25203	2186	189657	232049	288193	13409	2602	10811	6513	787	1500	22615	1968	8637	426	7975
Nav3	Nav3	682	528	1409	20230	273784	34864	762	2593	5339	13549	65573	4089	7299	11578	967	2796	364	891	21427	943	14032	169	771	843	230351	51090	6526	17289	949	3493	3540	47767	76049	37582	49740	161106	15537	3077	297356	359985	205989	20177	3122	10592	6014	835	1069	41564	2187	7427	591	2391
Neb	Neb	251	59	321	109	65259	13837	683	1005	1354	10592	24240	102	6739	26	64	6371	151	3880	7866	64	3288	1348	5048	966	107963	68404	2467	10359	2622	35077	1489	8117	54435	11718	59162	251274	8404	2199	11035	358319	113867	54840	5691	47152	5726	3410	1507	44241	1013	11618	817	46127
Notch1	Notch1	8814	12631	21875	17311	308726	246020	5203	20657	10655	43509	307301	132855	109293	89944	34017	50556	97355	414267	78606	5677	701630	7859	82292	4510	1724237	645030	97344	176877	172852	176678	40222	103285	881389	459424	333489	505583	95349	33719	941472	5881428	677527	528007	82531	123952	84746	27999	20765	369892	27954	129270	9726	222525
Notch2	Notch2	1365	1217	990	43	6016	12633	424	1254	3092	1907	31382	7404	16801	31818	21891	12297	613	29172	17969	1610	185331	881	6376	607	175538	114800	18130	27410	38499	43602	7232	19018	277898	72310	114669	231787	13454	7993	131228	1844072	84869	19285	2166	45798	7555	1907	2442	59686	2536	16136	1384	22439
Nsd1	Nsd1	22	16	21	7	24	4310	285	11	571	5375	4744	1750	2181	4481	1165	15	1054	2091	1095	305	594	21	347	23	36610	27947	580	6427	762	5035	99	334	1296	6042	14090	119427	1717	691	62562	73327	11546	1284	498	1616	3175	181	57	4156	1345	2045	65	221
Obscn	Obscn	2842	1345	1335	575	128194	10133	541	433	4230	10550	43424	8781	4058	36	275	352	203	21559	14862	145	16133	13871	9197	648	51368	133841	8125	19643	5742	23862	3654	2305	174671	31790	62973	36721	32581	4987	414808	576724	40502	7417	61133	7693	6379	12866	4856	46095	260	6746	952	12684
Oraov1	Oraov1	34	0	68	3	0	481	7	0	14	246	7	185	21	7	31	11	42	9091	5630	19	9700	82	52	75	13367	14801	5669	48931	543	2622	396	2711	547	507	27537	62597	5785	747	122197	36968	17161	4968	1068	19649	146	48	1234	6601	113	366	203	1374
P3h2	P3h2	122	101	214	5	30	1295	265	2520	56	792	5431	2633	2314	4873	149	48	121	23549	22607	888	18596	117	2704	239	59165	73192	5906	19420	1477	7076	400	896	112873	1896	57170	49299	12698	2017	139687	269894	267364	1596	2463	9713	7375	441	2896	20291	823	12134	521	11481
Pak7	Pak7	56	133	474	22	38	6672	96	180	136	194	23536	354	22146	1016	185	7093	840	8097	693	723	42572	143	1317	101	44947	24010	3389	5318	10724	9315	300	5367	68976	40920	51716	131308	4366	1852	94254	279356	44434	26993	1275	35407	5600	2413	1717	39974	587	5703	1161	7559
Pappa2	Pappa2	402	496	802	711	5851	12862	165	792	3248	3625	58971	4930	8362	25396	829	9231	3805	155987	10211	191	21359	1186	539	579	83857	103303	7927	44595	5762	11318	534	12157	136947	18261	95405	475778	22016	4179	83855	865968	41690	4829	1414	10461	7561	2057	975	40812	996	7779	662	8499
Pcdh11x	Pcdh11x	94	43	459	76	5938	21455	2216	6422	193	3789	19887	11485	4810	34	453	6172	1083	11924	9621	244	78271	8039	248	430	119683	109159	2531	13406	5598	18038	868	89841	98919	7800	72771	165009	24439	4589	377199	440810	94233	106472	6071	698884	4091	5279	1563	71541	1508	40198	973	25748
Pcdh15	Pcdh15	344	442	466	84	39328	9643	303	538	2004	3235	69479	1701	5177	35503	255	1434	233	6705	7363	409	20647	4317	278	78	145758	29077	10867	7520	5007	28697	1113	5555	57885	68227	53984	134692	33846	3193	262066	183388	146615	166686	93324	134100	8785	9445	2331	42409	1477	7784	436	4838
Pclo	Pclo	170	1710	176	299	98	5978	138	218	430	647	87775	6776	10613	6481	182	4272	3118	11325	1904	841	35926	4606	1876	367	132034	57755	2379	13872	6269	5350	886	4985	94059	31858	65446	179857	18101	4852	433451	697499	49697	7526	5519	6957	7901	2179	2518	28662	2745	4277	645	11890
Peg3	Peg3	234	141	813	162	146677	3480	124	440	64	147	11773	511	569	13	65	4598	4019	3623	29	430	24260	169	344	549	108395	42107	4771	10631	8518	7975	362	1244	65560	33038	60061	79736	4554	1699	38186	327199	37977	13582	863	11545	4638	1562	578	38615	358	8992	549	13406
Pik3ca	Pik3ca	38	33	141	38	79	16180	48	30	4355	4287	15245	779	1275	4288	64	1805	178	4645	1443	740	15758	35	2321	170	43149	18481	761	3891	16050	14840	190	1700	92429	66170	44075	306974	3273	2320	29179	414275	79449	28089	19129	187976	3048	14241	1548	33230	505	17116	296	4578
Pik3cg	Pik3cg	87	563	660	434	3896	45	37	589	1652	3810	11768	1865	730	797	207	7010	115	24438	3433	441	44480	5720	9214	616	64261	29952	18319	8253	2351	6764	1098	1628	33455	12435	216155	46076	9132	2062	108993	380628	168274	10054	3008	26934	12879	1325	2237	24159	701	6177	487	2068
Pkhd1	Pkhd1	103	10	405	47	93	1992	274	83	1069	4642	74717	11170	3254	783	3947	1483	200	29452	17258	810	77433	9627	3691	258	390365	89455	5350	37115	13143	23861	1628	16750	96909	18831	58911	184445	12499	4392	77034	946339	138432	26199	1653	12960	919	4610	3480	67746	2426	7914	1082	40434
Pkhd1l1	Pkhd1l1	121	31	386	135	123	24707	31	23	134	41	14139	3975	7049	6113	174	8679	1067	3453	3483	170	60986	18699	4470	534	42534	59406	10030	24253	1641	8157	591	60826	28388	85610	50738	220398	8694	1951	152181	180085	64503	20283	1584	12074	3377	7883	2076	46268	854	4527	617	8874
Plec	Plec	39	12	671	790	68	8309	228	14	1685	1309	22995	60	3569	1855	103	7968	1372	11385	4495	352	6690	893	3360	76	42494	18335	10174	4339	838	4403	458	455	45027	4635	37461	82583	5978	447	7706	60660	54126	535	734	35869	3170	1315	738	26156	705	8606	409	3041
Ppfia1	Ppfia1	29	28	96	10	26	27	371	340	233	2230	21146	1052	6951	24503	215	1600	905	12481	2459	78	16123	92	769	515	38829	28289	723	3418	1597	3428	680	18877	12897	3810	20940	14935	2034	1010	62060	143195	64214	7209	1708	223715	4808	2966	266	17752	1989	3886	283	3958
Prex2	Prex2	296	764	377	282	10957	10755	128	1555	1384	4330	23013	11797	5662	29720	607	407	496	13918	30632	722	4322	8739	1390	1002	48873	77934	4827	7799	21373	5591	1838	18035	200932	55658	46213	193448	5180	2354	186080	209179	91059	58901	5173	7482	7062	2842	2058	25674	1203	11501	792	12562
Prkdc	Prkdc	41	196	764	441	2637	18270	36	26	4769	9023	13673	4554	4578	717	59	4453	135	1642	892	361	14318	110	260	349	66729	45392	4024	25531	2732	7112	495	896	88004	17039	52623	106439	8971	1406	90361	177312	2883	8818	922	2558	4118	4928	3139	46006	242	7160	1001	8966
Ptprd	Ptprd	275	203	1577	1109	19328	9402	236	961	290	520	50632	7099	20422	84960	9679	8423	83357	4439	14256	1149	54357	1002	2866	276	46438	120919	3782	9063	7074	17636	843	2384	154954	44842	42615	44353	14828	4695	275429	733120	127482	12299	2610	22659	8244	852	1424	25777	1896	8466	786	13685
Reln	Reln	281	69	681	445	44971	6730	72	386	1655	2033	35357	3130	5274	14530	3896	9730	299	17418	16473	483	33347	753	535	208	153673	50246	2664	19487	3384	7015	1225	49370	204649	12290	90074	120854	21521	2784	59926	571358	23740	20536	1168	5937	6532	2788	1443	20647	400	7728	419	13112
Ros1	Ros1	255	255	728	128	60627	14028	237	139	4217	12512	40313	107	8678	22738	293	2262	2862	19151	20665	192	57714	1095	653	635	83315	95778	2589	24816	3697	8871	258	10558	181018	2627	63040	62883	8816	3003	262329	384011	19318	806	1905	3644	13416	2720	1782	34769	252	5754	927	9665
Rp1	Rp1	388	181	1035	242	88470	8393	789	2922	4464	9921	26191	4872	3519	53	235	29484	4555	26641	7801	352	10249	144	6625	2239	84158	158369	10929	43566	6688	11273	321	37105	122211	31330	106488	249218	15480	4098	114275	684874	216752	15790	2525	13296	9342	7686	1999	46526	558	10769	364	8530
Runx1t1	Runx1t1	724	156	33	35	102	3580	259	1374	273	4033	64959	7926	9324	37	178	4891	250	28751	13384	68	2580	2819	5232	812	55190	73171	4755	14759	2832	12329	651	2207	135324	24040	71985	124540	12974	5941	159445	1311184	381235	29874	3639	86049	9739	3298	622	35716	507	9550	513	7516
Ryr1	Ryr1	679	625	80	46	43	1516	188	596	385	1122	30344	6034	9543	34	101	1047	96	8985	35978	1050	16284	3286	2151	374	84297	61026	2262	12726	2784	15708	3241	2845	144625	14278	39225	45465	6909	4970	142618	1047642	141893	36620	2267	70539	4173	1611	1755	38014	263	7339	477	14647
