"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ctrl_sgRNA.12",4477.85169483573,0.281368550970585,0.728363427387192,0.386302414963254,0.699272712180853,0.903783133155335
"ctrl_sgRNA.11",2634.84134788914,0.561858083376546,0.743193741640561,0.756004863733479,0.449646279610608,0.840182712759893
"ctrl_sgRNA.47",4915.59401513082,0.493230607192972,0.675387015770163,0.730293292106788,0.465210927580844,0.845838050146989
"ctrl_sgRNA.46",6403.33047487331,-0.323125538333249,0.649840641482978,-0.497238119173119,0.619021143321576,0.901016244932655
"ctrl_sgRNA.39",1269.05660497621,2.1431260200952,0.781691614833304,2.7416515406171,0.00611311549315843,0.0815082065754457
"ctrl_sgRNA.25",2705.93748171698,0.815330645959662,0.820382265076582,0.993842359431736,0.320299619996145,0.762604572175844
"ctrl_sgRNA.19",968.768988976793,1.4015712196034,1.03509911047419,1.35404542948677,0.175721884491681,0.573235834492137
"ctrl_sgRNA.32",3491.15101832242,1.13843202284511,0.881123322456068,1.29202348165273,0.196349012802918,0.613590665009118
"ctrl_sgRNA.40",1497.483249564,1.10889883808779,0.988924717527714,1.12131774889802,0.262152633162171,0.689875350426765
"ctrl_sgRNA.18",1069.16117312022,0.547604447027394,0.693290158313498,0.789863292390448,0.429607610915768,0.825630149348763
"ctrl_sgRNA.8",2244.1974335572,-0.462206841207863,0.820421158573925,-0.563377524308711,0.573177838517304,0.891300677446295
"ctrl_sgRNA.34",1270.66235112804,0.123901249796715,0.675677368841786,0.183373390186355,0.854505053394708,0.925461154799104
"ctrl_sgRNA.5",3672.39436652641,0.421161684560312,0.853520308852584,0.493440730340083,0.621701209003532,0.901016244932655
"ctrl_sgRNA.10",3046.92447044155,-0.689612830749379,0.641563447976867,-1.07489420247371,0.282422097905512,0.705421742412632
"ctrl_sgRNA.23",1282.19156029757,0.43462062244326,0.865035500551837,0.502430966319879,0.61536440109363,0.901016244932655
"ctrl_sgRNA.1",39012.5797754898,0.0954136160769354,0.817326487181611,0.116738681020788,0.907067136802399,0.959859404023702
"ctrl_sgRNA.30",949.395725380086,-0.733465025729707,0.801691290059396,-0.914897086726943,0.360245659608555,0.790184635088893
"ctrl_sgRNA.16",2342.06325685909,-1.39980018018419,0.836402319582436,-1.67359672183002,0.0942098832266442,0.426451286756737
"ctrl_sgRNA.36",1651.39845451588,0.949984549015616,0.605284691347356,1.56948385213735,0.116535239186454,0.448726325858525
"ctrl_sgRNA.14",1448.10793489407,-1.35606855683473,0.885445387202474,-1.53151010376729,0.125643371240387,0.448726325858525
